symbol,name,data_days,total_return,annual_return,max_drawdown,sharpe,win_rate,profit_factor,total_trades,long_trades,short_trades,long_pnl,short_pnl,long_win_rate,short_win_rate,error
AU,黄金,969,40.116,8.817147726931452,3.814870686303479,1.2010226086043627,75.0,11.772287862513421,12,11,1,408479.99999999994,-7320.000000000011,81.81818181818183,0.0,
AG,白银,969,10.834512300000014,2.610487373088244,3.0357490858728426,0.00816091848528079,52.94117647058824,3.152596925088967,17,14,3,116871.1005,-8525.9775,57.14285714285714,33.33333333333333,
CU,沪铜,969,7.302143000000017,1.7812674662980088,9.768619195164117,-0.22595560570838807,35.0,1.7024179702355497,20,14,6,72875.36,146.07000000000335,35.714285714285715,33.33333333333333,
CF,棉花,969,4.9842800000000045,1.2259689013188746,1.6586467779107363,-1.1012531795269276,66.66666666666666,4.968312606487157,15,6,9,17030.4,32812.4,66.66666666666666,66.66666666666666,
SR,白糖,969,2.0016,0.49771249061481004,1.3147517193513787,-2.011420889186748,53.84615384615385,1.95386961494472,13,7,6,-3956.0,23972.0,28.57142857142857,83.33333333333334,
L,塑料LLDPE,969,1.7545000000000002,0.4366675199436676,1.6899227883527521,-1.9549411404479533,61.53846153846154,1.93334397276306,13,5,8,-5749.0,23294.0,40.0,75.0,
FU,燃油,969,0.9577276000000304,0.23906858052666902,1.3457575259082646,-2.10008348010643,42.857142857142854,1.5547262478504762,14,8,6,-786.1529999999989,10363.429,37.5,50.0,
NI,沪镍,969,0.8194,0.20464447042318756,4.921073632170037,-0.806461167673869,54.54545454545454,1.2528232027152113,11,4,7,2306.0,5888.0,75.0,42.857142857142854,
TA,PTA,969,0.49179999999999996,0.12297674471506426,3.4450000000000003,-2.1581221983268906,25.0,1.1321048673041796,16,8,8,-18244.0,23162.0,12.5,37.5,
OI,菜油,969,0.4462,0.11159326215419707,2.246830837728665,-1.9276445232583774,50.0,1.1428571428571428,12,6,6,-10504.0,14966.0,33.33333333333333,66.66666666666666,
V,PVC,969,0.402,0.10055557522856695,2.084842315447409,-2.1813829940740788,50.0,1.1317384892675733,16,5,11,-6854.0,10874.0,40.0,54.54545454545454,
PP,聚丙烯,969,0.3707,0.092737091858619,2.1721644398152073,-2.2545084540010887,50.0,1.1164880746629795,16,5,11,-10137.0,13844.0,40.0,54.54545454545454,
SA,纯碱,969,0.2828,0.07077061651181715,2.1874529626288393,-2.3664571875037366,46.15384615384615,1.1183461667224641,13,4,9,-628.0,3456.0,50.0,44.44444444444444,
HC,热卷,969,-0.165081799999997,-0.04138103534683246,1.5835349344572953,-2.8191777123812307,43.75,0.9408631309499824,16,4,12,-6826.644,5175.826,50.0,41.66666666666667,
C,玉米,969,-0.18027999999998137,-0.0451933437471741,1.9074396517609837,-2.2999121552352726,44.44444444444444,0.9526052894473949,18,8,10,-28376.8,26574.0,0.0,80.0,
MA,甲醇,969,-0.74,-0.18589722847605072,2.1135148831910424,-2.884984319202871,28.57142857142857,0.7214274958590574,14,7,7,-13384.0,5984.0,14.285714285714285,42.857142857142854,
EG,乙二醇,969,-0.8567999999999999,-0.21533367544278592,4.035894893406049,-2.674217967703215,17.647058823529413,0.7603088457449785,17,9,8,-17358.0,8790.0,0.0,37.5,
RB,螺纹钢,969,-1.0674796000000089,-0.2684958586168462,2.033312972263884,-3.062507117861801,31.25,0.685406150042709,16,4,12,-8905.896,-1768.8999999999992,0.0,41.66666666666667,
RM,菜粕,3155,-1.1935,-0.0922007815528314,4.076464493441864,-2.528215647016307,34.0,0.8879479500154911,50,27,23,9085.0,-21020.0,33.33333333333333,34.78260869565217,
JM,焦煤,969,-1.598929799999995,-0.4029782144859495,6.970090407466166,-1.173432957839236,42.857142857142854,0.8142470733916594,14,5,9,-31199.976,15210.677999999996,20.0,55.55555555555556,
BU,沥青,969,-1.6399050000000046,-0.4133694863271642,3.768918200472022,-2.937993328012743,38.88888888888889,0.5663429758327451,18,9,9,-20376.872000000003,3977.8219999999974,22.22222222222222,55.55555555555556,
AL,沪铝,969,-1.8964,-0.4784902006490843,3.780682463986558,-3.534230159142335,36.84210526315789,0.5054632696169192,19,10,9,2065.0,-21029.0,60.0,11.11111111111111,
FG,玻璃,969,-1.9476,-0.4915044834784221,2.665420337702114,-3.6602156266849244,41.17647058823529,0.47583162880826785,17,8,9,-14292.0,-5184.0,25.0,55.55555555555556,
AP,苹果,969,-2.23,-0.5633780512161235,3.721542465671463,-2.6005743663944565,31.25,0.42183043816437643,16,8,8,-780.0,-21520.0,50.0,12.5,
ZN,沪锌,969,-2.5377,-0.6418680630666973,4.627517763002577,-2.3458242849927275,41.17647058823529,0.5323074087725764,17,8,9,-15273.0,-10104.0,50.0,33.33333333333333,
I,铁矿石,969,-2.6384799999999933,-0.6676160207062298,4.292582985489971,-1.8794475231930292,46.666666666666664,0.4798269507080795,15,7,8,-14160.87,-12223.929999999998,42.857142857142854,50.0,
P,棕榈油,969,-3.175,-0.8050270352726208,5.2873834533223185,-2.4387936767101523,27.77777777777778,0.46282040436511296,18,8,10,-5940.0,-25810.0,37.5,20.0,
Y,豆油,969,-4.585,-1.1688904265033218,4.6855,-3.6136650619079673,27.77777777777778,0.17454316320100818,18,6,12,-15110.0,-30740.0,33.33333333333333,25.0,
M,豆粕,969,-4.7849,-1.2208020216788684,5.0,-3.1685226898643726,23.52941176470588,0.18418809247766488,17,9,8,-48192.0,343.0,0.0,50.0,
J,焦炭,969,-8.616597999999986,-2.2320100013570543,15.227169974947,-0.9190519851118597,26.666666666666668,0.5830570923424768,15,6,9,-112017.97,25851.99,0.0,44.44444444444444,
SC,原油,969,-16.168000000000024,-4.321792234625887,20.750000000000025,-0.5748784917766308,41.17647058823529,0.5571624212544508,17,7,10,-93079.99999999996,-68600.0000000001,42.857142857142854,40.0,
