symbol,name,data_days,total_return,annual_return,max_drawdown,sharpe,win_rate,profit_factor,total_trades,long_trades,short_trades,long_pnl,short_pnl,long_win_rate,short_win_rate,error
AU,黄金,969,42.256,9.231133977907756,5.1176945531333455,1.1511184361179694,70.58823529411765,8.10662630339723,17,15,2,422479.9999999999,79.99999999994816,73.33333333333333,50.0,
CU,沪铜,969,12.158283499999996,2.9161401078135807,6.698689569946577,0.09893733242906784,45.83333333333333,2.1786573284955675,24,17,7,91866.68,29716.155000000006,47.05882352941176,42.857142857142854,
AG,白银,969,8.022848699999996,1.9520960363502038,5.619599440002721,-0.26382671881062575,34.61538461538461,1.966145929719813,26,19,7,111027.82200000001,-30799.335000000003,42.10526315789473,14.285714285714285,
CF,棉花,969,5.017160000000009,1.233910022528284,1.6336749649509918,-1.0316657087007137,66.66666666666666,3.081394577013707,21,10,11,10152.2,40019.4,60.0,72.72727272727273,
HC,热卷,969,3.0002820000000066,0.7433091302862627,1.9495089825292733,-1.4138755729809935,45.0,1.9080601101082832,20,8,12,-4647.552000000001,34650.37200000001,50.0,41.66666666666667,
V,PVC,969,2.1239999999999997,0.5279098327976017,2.2360918839015462,-1.523624298245878,50.0,1.6627972289833364,20,6,14,8514.0,12726.0,33.33333333333333,57.14285714285714,
C,玉米,969,1.7186799999999929,0.427809128582024,2.238133674574276,-1.5663317908218277,45.45454545454545,1.49663646030792,22,9,13,-16708.0,33894.8,22.22222222222222,61.53846153846154,
JM,焦煤,969,1.6621259999999891,0.4138183971917453,8.857435697811349,-0.7261401631559253,47.05882352941176,1.1778058965079965,17,8,9,-25800.012,42421.272,37.5,55.55555555555556,
FU,燃油,969,0.7998790000000153,0.19978363819690426,1.6886011643310335,-2.070424752869562,64.70588235294117,1.345067012660181,17,8,9,-2551.6169999999984,10550.407,50.0,77.77777777777779,
MA,甲醇,969,0.6245999999999999,0.15610660126259557,2.7652855622282537,-1.9638206996978906,36.84210526315789,1.1625631148820987,19,8,11,-5704.0,11950.0,37.5,36.36363636363637,
FG,玻璃,969,0.086,0.021537329268062066,2.0167470485546053,-2.0889780262079567,47.61904761904761,1.0212031558185404,21,9,12,-3202.0,4062.0,44.44444444444444,50.0,
AL,沪铝,969,0.0276,0.006913492261007015,4.183888779333465,-2.1977556553731246,34.78260869565217,1.0060152997842338,23,12,11,16148.0,-15872.0,50.0,18.181818181818183,
SA,纯碱,969,-0.1122,-0.0281195816223212,2.819977844149642,-2.065572152265325,50.0,0.9710406772661574,20,8,12,-12390.0,11268.0,50.0,50.0,
L,塑料LLDPE,969,-0.5877,-0.1475528864503195,2.655100130676738,-2.021932993155574,34.78260869565217,0.8956943064035212,23,10,13,-21291.0,15414.0,20.0,46.15384615384615,
SR,白糖,969,-0.7162,-0.17990223262482896,2.119141230109315,-2.1386732515023943,41.66666666666667,0.8689526458318085,24,10,14,-12400.0,5238.0,30.0,50.0,
TA,PTA,969,-0.9722,-0.24444282523544691,3.761575693142713,-2.0643067765330723,24.0,0.801891021722297,25,14,11,-21204.0,11482.0,14.285714285714285,36.36363636363637,
OI,菜油,969,-1.1232,-0.28257034376290013,2.520112339730567,-1.9314350513079417,39.130434782608695,0.7713168824822868,23,13,10,-22462.0,11230.0,23.076923076923077,60.0,
PP,聚丙烯,969,-1.2262,-0.3086029000128998,4.652384358112219,-2.2282315637984884,25.0,0.7849300171887607,24,7,17,-10142.0,-2120.0,42.857142857142854,17.647058823529413,
RB,螺纹钢,969,-1.707251200000022,-0.4304554693271956,2.58308508182659,-2.549960014215087,28.000000000000004,0.7205889400006963,25,13,12,-34462.808000000005,17390.296,15.384615384615385,41.66666666666667,
Y,豆油,969,-1.718,-0.4331832919889478,2.9126117229023887,-2.5764742440451545,30.434782608695656,0.6298610363029193,23,10,13,-10280.0,-6900.0,20.0,38.46153846153847,
NI,沪镍,969,-2.0084,-0.5069655612685908,6.675603582820077,-0.9016978083256136,42.10526315789473,0.8204798169401838,19,7,12,-20782.0,698.0,42.857142857142854,41.66666666666667,
M,豆粕,969,-2.1339,-0.5389022148704847,3.321932941122853,-2.039003556626878,33.33333333333333,0.6391294053980924,21,11,10,-41864.0,20525.0,18.181818181818183,50.0,
BU,沥青,969,-2.752573800000013,-0.6967895974324123,4.44914330856694,-2.6418068694980654,22.727272727272727,0.5197949267907959,22,8,14,-14687.032,-12838.706000000006,12.5,28.57142857142857,
RM,菜粕,3155,-3.7651,-0.29440915481068197,7.436338087284831,-2.0963386493279805,30.263157894736842,0.8104293798964816,76,46,30,-35422.0,-2229.0,26.08695652173913,36.666666666666664,
P,棕榈油,969,-4.4415000000000004,-1.1316754620057323,7.131850984981471,-2.4768726887075037,29.629629629629626,0.5070203673899772,27,13,14,-26125.0,-18290.0,23.076923076923077,35.714285714285715,
AP,苹果,969,-4.6129999999999995,-1.1761567733702294,5.258,-2.8630696283359383,22.727272727272727,0.23865324310942398,22,11,11,-16120.0,-30010.0,36.36363636363637,9.090909090909092,
EG,乙二醇,969,-5.2614,-1.3448735043745885,7.70697086727721,-3.223057028826747,24.137931034482758,0.34541790042051307,29,16,13,-40058.0,-12556.0,18.75,30.76923076923077,
I,铁矿石,969,-5.6181360000000105,-1.4380672329595279,5.6181360000000105,-2.3785590939567975,29.166666666666668,0.3667471870921448,24,10,14,-14013.26,-42168.1,30.0,28.57142857142857,
ZN,沪锌,969,-6.2474,-1.603101760693404,7.60414946213057,-2.8176995055392347,24.137931034482758,0.3350788126483391,29,14,15,-45059.0,-17415.0,28.57142857142857,20.0,
