symbol,name,data_days,total_return,annual_return,max_drawdown,sharpe,win_rate,profit_factor,total_trades,long_trades,short_trades,long_pnl,short_pnl,long_win_rate,short_win_rate,error
AU,黄金,969,23.628,5.457295290797171,5.013854760286506,0.6030593655395654,46.15384615384615,7.9535020600353254,13,12,1,249020.00000000017,-12740.000000000027,50.0,0.0,
AG,白银,969,7.979849849999998,1.9419280377211745,3.8154163840357658,-0.3466660659274739,33.33333333333333,2.9963096471114823,12,10,2,91186.5225,-11388.024,40.0,0.0,
CU,沪铜,969,7.349796999999997,1.7925893806873816,5.258601227108987,-0.24362500098518267,46.666666666666664,2.076407412272936,15,9,6,67100.975,6396.994999999999,55.55555555555556,33.33333333333333,
CF,棉花,969,3.0367800000000047,0.7522508801388605,1.0458825204010505,-1.6419219651340144,64.28571428571429,3.3295335992635775,14,5,9,10089.0,20278.8,60.0,66.66666666666666,
JM,焦煤,969,2.2410881999999983,0.5567713240265393,3.7010932588534136,-1.0108888526690245,62.5,1.8798367030812861,8,3,5,12092.112000000001,10318.770000000002,66.66666666666666,60.0,
J,焦炭,969,1.6839659999999916,0.4192220231717281,4.0815475043361,-0.7657506842796515,75.0,2.9184133808617316,4,1,3,517.83,16321.830000000002,100.0,66.66666666666666,
PP,聚丙烯,969,1.5324,0.3817038047520427,1.1582919610369244,-2.4563929202136245,42.857142857142854,3.09344262295082,7,1,6,6592.0,8732.0,100.0,33.33333333333333,
RB,螺纹钢,969,1.4790445999999997,0.36848637088968683,0.9888371999999973,-2.688618271014967,50.0,2.3794831617658714,8,3,5,6251.9580000000005,8538.487999999998,33.33333333333333,60.0,
FG,玻璃,969,1.359,0.33872934244505437,1.280012657727147,-3.051457736819986,75.0,4.31140350877193,8,3,5,1924.0,11666.0,66.66666666666666,80.0,
TA,PTA,969,1.0746,0.26812582406543495,0.6948868596776857,-3.55286462486314,40.0,2.7073403241182077,5,3,2,-4520.0,15266.0,33.33333333333333,50.0,
C,玉米,969,0.9617199999999836,0.24006160140481736,2.2724491028780913,-2.2802838272777666,46.15384615384615,1.3460320658587834,13,4,9,-1701.5999999999995,11318.800000000001,50.0,44.44444444444444,
NI,沪镍,969,0.8210000000000001,0.20504284760545222,4.8963792624388,-0.9698007921117763,40.0,1.2536612494593091,10,5,5,-5710.0,13920.0,40.0,40.0,
SR,白糖,969,0.7216,0.18028466328108284,1.216613116240563,-2.433123265414578,36.36363636363637,1.4471433882761184,11,5,6,-1116.0,8332.0,20.0,50.0,
P,棕榈油,969,0.6265,0.1565803598633675,2.089536264035651,-2.615849190896346,42.857142857142854,1.366374269005848,7,4,3,-9980.0,16245.0,25.0,66.66666666666666,
HC,热卷,969,0.6021652000000118,0.15051205240914634,1.8836890316915327,-3.2564203871720117,37.5,1.375471408463298,8,3,5,-3113.517999999999,9135.17,33.33333333333333,40.0,
FU,燃油,969,0.23007310000001452,0.057587079828014254,1.3856629309732345,-2.5443235322251545,75.0,1.3554230677848327,8,2,6,-1640.589,3941.3199999999997,50.0,83.33333333333334,
L,塑料LLDPE,969,-0.10490000000000001,-0.02628933467078154,1.9528425569107304,-3.027646471119351,44.44444444444444,0.9354620401132029,9,3,6,-10024.0,8975.0,33.33333333333333,50.0,
ZN,沪锌,969,-0.23479999999999998,-0.0588726919977578,1.9151889823543062,-3.5685993467034387,28.57142857142857,0.8510246811750524,7,3,4,-3243.0,895.0,33.33333333333333,25.0,
OI,菜油,969,-0.346,-0.08679072065921334,2.4382984972343236,-2.6943281597041144,30.0,0.8490269657038136,10,4,6,-2606.0,-854.0,25.0,33.33333333333333,
Y,豆油,969,-0.3865,-0.09696450815608326,1.7900073555183664,-3.2753391953628284,36.36363636363637,0.8208989805375347,11,5,6,-9410.0,5545.0,20.0,50.0,
V,PVC,969,-0.5121,-0.12853553769273107,1.4388760193607926,-3.525726056310651,57.14285714285714,0.560768505017583,7,5,2,-554.0,-4567.0,60.0,50.0,
BU,沥青,969,-0.5422151999999885,-0.13610978513691752,1.0105120337902338,-4.422783303372683,33.33333333333333,0.3367300804415478,6,2,4,-3915.354,-1506.7980000000002,0.0,50.0,
SA,纯碱,969,-0.6204000000000001,-0.1557820026856227,2.6637792815425767,-2.1554345868553515,50.0,0.74755859375,8,5,3,-14809.0,8605.0,60.0,33.33333333333333,
MA,甲醇,969,-0.9483999999999999,-0.23843729819432724,1.563512734357914,-5.160776122458735,33.33333333333333,0.09382763233326963,6,4,2,-10466.0,982.0,0.0,100.0,
EG,乙二醇,969,-1.1328,-0.28499581997977197,1.723442112901462,-6.310851203920321,33.33333333333333,0.11638065522620905,6,4,2,-10580.0,-748.0,25.0,50.0,
I,铁矿石,969,-1.7358449999999952,-0.4377124769229024,1.9592729999999983,-3.6265936993701016,28.57142857142857,0.2804498253401277,7,2,5,6765.58,-24124.03,100.0,0.0,
AL,沪铝,969,-1.8447000000000002,-0.4653539895934644,2.912332985645458,-5.482987003433023,18.181818181818183,0.27741000430882523,11,5,6,589.0,-19036.0,40.0,0.0,
AP,苹果,969,-2.82,-0.7140424154986835,3.4974080375710175,-3.5473739359758194,15.384615384615385,0.11819887429643527,13,8,5,-14250.0,-13950.0,25.0,0.0,
M,豆粕,969,-3.7969999999999997,-0.9650469424693386,3.9905230326295587,-3.332812535602444,11.11111111111111,0.02934710363515517,9,4,5,-30793.0,-7177.0,0.0,20.0,
RM,菜粕,3155,-4.560899999999999,-0.35799523381396803,6.726432418538784,-3.1581971257259136,30.303030303030305,0.5559439197741213,33,18,15,-13033.0,-32576.0,33.33333333333333,26.666666666666668,
SC,原油,969,-10.956000000000023,-2.8651164357525905,19.117086020528678,-0.926743679306087,22.22222222222222,0.3922786776126028,9,3,6,-13919.999999999956,-95640.00000000003,33.33333333333333,16.666666666666664,
